Timestamp,Temperature,Pressure,Acceleration,TempAnomaly,PressureAnomaly,AccelAnomaly
658146629,24.848,0.983074,9.6079,0,0,0
658146690,24.6918,0.980179,9.7359,0,0,0
658146752,24.9869,0.985091,9.70982,0,0,0
658146814,25.0888,0.985617,9.7218,0,0,0
658146878,25.0391,0.99292,9.73611,0,0,0
658146942,25.1065,0.998137,9.75808,0,0,0
658147004,25.1684,1.00379,9.73671,0,0,0
658147065,24.956,0.998885,9.77949,0,0,0
658147127,24.9246,0.998242,9.77225,0,0,0
658147190,24.8946,0.990331,9.78631,0,0,0
658147252,24.7645,0.988115,9.78075,0,0,0
658147316,24.8086,0.9873,9.81706,0,0,0
658147376,24.923,0.993272,9.79486,0,0,0
658147441,25.1605,0.998808,9.81973,0,0,0
658147504,24.9291,1.00441,9.79988,0,0,0
658147566,24.9646,1.00072,9.80199,0,0,0
658147628,25.0974,1.00237,9.7572,0,0,0
658147690,24.9403,0.995532,9.75782,0,0,0
658147752,24.5964,0.992061,9.74677,0,0,0
658147815,24.8865,0.990146,9.7601,0,0,0
658147876,25.0447,0.992929,9.78206,0,0,0
658147939,24.7857,0.982522,10.1828,0,0,0
658148001,23.5717,0.986793,10.2125,1,0,0
658148062,23.6633,0.992144,10.2127,0,0,0
658148125,23.6404,0.989451,10.207,0,0,0
658148187,23.3482,0.991486,10.2265,0,0,0
658148249,23.3775,0.994547,9.8515,0,0,0
658148311,24.8792,0.995731,9.85173,0,0,0
658148374,24.7747,0.989755,9.8575,0,0,0
658148451,25.0806,0.992541,9.84991,0,0,0
658148513,25.4476,0.994831,9.79299,0,0,0
658148575,25.4882,1.00202,9.78518,0,0,0
658148638,25.2052,1.00516,9.7832,0,0,0
658148701,25.4911,1.00645,9.79806,0,0,0
658148762,25.133,1.01174,9.8442,0,0,0
658148824,24.9829,1.00567,9.86365,0,0,0
658148887,25.2506,1.00304,9.83404,0,0,0
658148950,25.2655,0.997911,9.81684,0,0,0
658149013,24.9945,1.00171,9.81536,0,0,0
658149075,25.0698,1.00335,9.76117,0,0,0
658149139,25.0544,1.00977,9.78955,0,0,0
658149200,24.8505,1.00788,9.80141,0,0,0
658149263,25.0693,1.07983,9.79576,0,0,0
658149326,25.0697,1.07559,9.78478,0,0,0
658149387,25.0249,1.06809,9.80519,0,0,0
658149447,25.0686,1.0641,9.81053,0,0,0
658149523,25.0347,1.06728,9.83638,0,0,0
658149587,24.7062,0.999624,9.84122,0,0,0
658149648,24.5832,1.00083,9.81373,0,0,0
658149710,24.7857,1.0058,9.81535,0,0,0
658149773,24.8597,1.00753,9.78403,0,0,0
658149835,24.961,1.00797,9.77785,0,0,0
658149897,25.4569,1.0016,9.76927,0,0,0
658149958,25.8206,1.00132,9.81702,0,0,0
658150020,25.7988,0.997,9.77993,0,0,0
658150084,25.7214,0.994465,9.7706,0,0,0
658150145,25.7835,0.995892,9.75512,0,0,0
658150207,25.4892,0.995521,9.78789,0,0,0
658150269,25.3777,0.996032,9.72848,0,0,0
658150331,25.185,0.997796,9.74767,0,0,0
658150395,25.0666,0.993775,9.77585,0,0,0
658150456,24.811,0.990225,9.79623,0,0,0
658150518,24.9054,1.0029,9.75672,0,0,0
658150580,24.9618,0.997641,9.80246,0,0,0
658150644,25.105,0.992813,9.80119,0,0,0
658150705,25.2169,0.99995,9.7875,0,0,0
658150769,25.4713,0.999268,9.79999,0,0,0
658150831,25.3953,0.997118,9.79506,0,0,0
658150893,25.2547,1.00198,9.80693,0,0,0
658150955,24.9222,1.00069,9.83453,0,0,0
658151019,24.9897,0.999012,9.85156,0,0,0
658151081,24.7165,0.99814,9.85649,0,0,0
658151142,24.5786,0.991225,9.8509,0,0,0
658151204,24.5694,0.984631,9.81488,0,0,0
658151268,24.8116,0.988804,9.81124,0,0,0
658151329,24.8895,0.999084,9.80549,0,0,0
658151393,24.9465,1.00288,9.79877,0,0,0
658151455,24.9662,1.00265,9.80549,0,0,0
658151518,24.937,1.01043,9.82442,0,0,0
658151581,25.0381,1.01224,9.80239,0,0,0
658151645,25.0154,0.998904,9.81504,0,0,0
658151707,25.0445,1.00237,9.78157,0,0,0
658151769,25.1334,1.00461,9.81764,0,0,0
658151830,25.179,1.00154,9.80913,0,0,0
658151892,25.0516,0.997845,9.80313,0,0,0
658151955,24.9239,1.0042,9.78952,0,0,0
658152016,25.1206,0.998417,9.76857,0,0,0
658152078,25.1264,0.999491,10.126,0,0,0
658152140,24.9978,1.00435,10.1103,0,0,0
658152203,24.8369,1.00918,10.1326,0,0,0
658152265,24.6661,1.01031,10.1073,0,0,0
658152328,24.4952,1.00915,10.1242,0,0,0
658152390,24.4535,1.00751,9.75206,0,0,0
658152452,24.6647,1.01244,9.7749,0,0,0
658152515,24.9328,1.00891,9.75482,0,0,0
658152578,25.1046,0.999224,9.77209,0,0,0
658152640,25.0565,1.00299,9.80112,0,0,0
658152717,25.0915,1.07106,9.80246,0,0,0
658152779,24.8901,1.06399,9.82036,0,0,0
658152857,24.7039,1.13934,9.82705,0,0,0
658152919,24.4433,1.14553,9.82714,0,0,0
658152981,24.3532,1.14661,9.79531,0,0,0
658153043,24.1728,1.08187,9.79597,0,0,0
658153105,24.2084,1.07935,9.76597,0,0,0
658153168,24.2396,1.00516,9.78551,0,0,0
658153231,24.4166,1.00896,9.82831,0,0,0
658153295,24.9354,1.01107,9.84905,0,0,0
658153359,25.0595,1.0018,9.84517,0,0,0
658153422,25.2899,1.00247,9.84675,0,0,0
658153483,25.3368,1.00275,10.2293,0,0,0
658153546,25.4091,0.998352,10.1833,0,0,0
658153623,25.006,0.993949,10.2033,0,0,0
658153686,25.1842,1.00435,10.2126,0,0,0
658153762,25.043,1.0024,10.2115,0,0,0
658153825,25.2055,0.999117,9.79179,0,0,0
658153889,25.0443,0.999992,9.77513,0,0,0
658153951,25.0932,0.996575,9.74838,0,0,0
658154028,24.933,0.99566,9.74936,0,0,0
658154092,24.8127,0.997656,9.74063,0,0,0
658154154,24.7866,1.005,9.74528,0,0,0
658154231,24.7813,1.00797,9.79027,0,0,0
658154293,24.9421,1.01095,9.81514,0,0,0
658154355,24.9939,1.00209,9.80718,0,0,0
658154417,25.1427,1.00717,9.82877,0,0,0
658154478,25.0245,0.999879,9.86849,0,0,0
658154541,25.002,0.991802,9.84164,0,0,0
658154604,24.832,0.999823,9.82875,0,0,0
658154667,24.7204,1.00819,9.8363,0,0,0
658154729,24.7704,1.00183,9.84051,0,0,0
658154792,24.751,1.00022,9.83493,0,0,0
658154855,24.8771,1.00631,9.82927,0,0,0
658154917,24.925,0.996943,9.85863,0,0,0
658154979,24.8553,0.996091,9.84195,0,0,0
658155042,24.795,0.997951,9.83717,0,0,0
658155104,24.7089,1.00313,9.81964,0,0,0
658155166,24.6001,0.999868,9.79765,0,0,0
658155230,24.517,1.001,9.73858,0,0,0
658155292,24.7401,1.00233,9.76259,0,0,0
658155354,24.7667,1.00551,9.76834,0,0,0
658155417,25.0016,1.00588,9.74526,0,0,0
658155491,25.2054,1.07518,9.78373,0,0,0
658155558,25.157,1.077,9.83394,0,0,0
658155616,24.9148,1.07623,9.82535,0,0,0
658155679,23.7907,1.07789,9.848,1,0,0
658155742,23.9952,1.07119,9.87558,0,0,0
658155805,23.8818,0.999046,9.88434,0,0,0
658155868,24.0467,0.989763,9.84158,0,0,0
658155931,24.2961,0.992048,9.83421,0,0,0
658155995,25.4962,0.989472,9.82605,0,0,0
658156056,25.2398,0.994127,9.80774,0,0,0
658156119,25.4839,1.00144,9.80212,0,0,0
658156182,25.47,1.01155,9.87898,0,0,0
658156245,25.4712,1.00645,9.8403,0,0,0
658156308,25.3973,0.99854,9.82955,0,0,0
658156370,25.3039,0.997199,9.84107,0,0,0
658156433,25.1162,0.993424,9.87753,0,0,0
658156494,25.2171,0.996216,9.80201,0,0,0
658156557,25.2636,0.999521,9.81773,0,0,0
658156620,25.1847,1.00239,9.79676,0,0,0
